name	type	primary	secondary	equipment	mechanics	level	force
3/4 Sit-Up	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
90-Degree Jump Squat Twist	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
90/90 Hamstring	Stretching	Hamstrings	Calves	None	N/A	Beginner	Push
Ab Crunch Machine	Strength	Abdominals	N/A	Machine	Isolation	Intermediate	Pull
Ab Roller	Strength	Abdominals	Shoulders	Other	Compound	Intermediate	Pull
Adductor	Stretching	Adductors	N/A	Foam Roll	Isolation	Intermediate	Static
Adductor/Groin	Stretching	Adductors	N/A	None	N/A	Intermediate	Static
Advanced Kettlebell Windmill	Strength	Abdominals	"Glutes,Hamstrings,Shoulders"	Kettlebells	Isolation	Intermediate	Push
Air Bike	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Alien Squat	Plyometrics	Quadriceps	"Abductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
All Fours Quad Stretch	Stretching	Quadriceps	Quadriceps	None	N/A	Intermediate	Static
Alternate Hammer Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Alternate Heel Touchers	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Alternate Incline Dumbbell Curl	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Alternate Leg Diagonal Bound	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Alternating Cable Shoulder Press	Strength	Shoulders	Triceps	Cable	Compound	Beginner	Push
Alternating Deltoid Raise	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Alternating Floor Press	Strength	Chest	"Abdominals,Shoulders,Triceps"	Kettlebells	Compound	Beginner	Push
Alternating Hang Clean	Strength	Hamstrings	"Biceps,Calves,Forearms,Glutes,LowerBack,Traps"	Kettlebells	Compound	Intermediate	Pull
Alternating Kettlebell Press	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Alternating Kettlebell Row	Strength	MiddleBack	"Biceps,Lats"	Kettlebells	Isolation	Intermediate	Pull
Alternating Leg Swing	Stretching	Hamstrings	"Calves,Glutes,LowerBack"	None	Compound	Beginner	N/A
Alternating Renegade Row	Strength	MiddleBack	"Abdominals,Biceps,Chest,Lats,Triceps"	Kettlebells	Compound	Expert	Pull
Ankle Circles	Stretching	Calves	N/A	None	Isolation	Beginner	Pull
Ankle On The Knee	Stretching	Glutes	N/A	None	N/A	Beginner	Static
Anterior Tibialis-SMR	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Anti-Gravity Press	Strength	Shoulders	"MiddleBack,Traps,Triceps"	Barbell	Compound	Beginner	Push
Arm Circles	Stretching	Shoulders	Traps	None	Isolation	Beginner	Push
Arnold Dumbbell Press	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Around The World Pull-Up	Strength	Lats	"Biceps,MiddleBack"	Other	Compound	Expert	Pull
Around The Worlds	Strength	Chest	Shoulders	Dumbbell	Compound	Intermediate	Push
Assisted Chin-Up	Strength	Lats	"Biceps,MiddleBack"	Bands	Compound	Beginner	Pull
Atlas Stone Trainer	Strongman	LowerBack	"Biceps,Forearms,Glutes,Hamstrings,Quadriceps"	Other	Compound	Intermediate	Pull
Atlas Stones	Strongman	LowerBack	"Abdominals,Adductors,Biceps,Calves,Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Other	Compound	Expert	Pull
Axle Clean And Press	Strongman	Shoulders	"Glutes,Hamstrings,LowerBack,MiddleBack,Quadriceps,Traps,Triceps"	Barbell	Compound	Expert	Push
Axle Deadlift	Strongman	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Other	Compound	Intermediate	Pull
Back Flyes - With Bands	Strength	Shoulders	"MiddleBack,Triceps"	Bands	Compound	Beginner	Pull
Backward Drag	Strongman	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack"	Other	Compound	Beginner	Pull
Backward Medicine Ball Throw	Plyometrics	Shoulders	N/A	Medicine Ball	Compound	Beginner	Push
Balance Board	Strength	Calves	"Hamstrings,Quadriceps"	Other	Compound	Beginner	N/A
Ball Leg Curl	Strength	Hamstrings	"Calves,Glutes"	Exercise Ball	Isolation	Beginner	Pull
Band Assisted Pull-Up	Strength	Lats	"Abdominals,Forearms,MiddleBack"	Other	Compound	Beginner	N/A
Band Good Morning	Powerlifting	Hamstrings	"Glutes,LowerBack"	Bands	Compound	Beginner	Pull
Band Good Morning (Pull Through)	Powerlifting	Hamstrings	"Glutes,LowerBack"	Bands	Compound	Beginner	Pull
Band Hip Adductions	Strength	Adductors	N/A	Bands	Isolation	Beginner	Pull
Band Pull Apart	Strength	Shoulders	"MiddleBack,Traps"	Bands	Isolation	Beginner	Pull
Band Skull Crusher	Strength	Triceps	N/A	Bands	Isolation	Beginner	Push
Bar Push-Up Smith Machine	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Beginner	Push
Bar Throw And Press	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Intermediate	Push
Barbell Ab Rollout	Strength	Abdominals	"LowerBack,Shoulders"	Barbell	Compound	Intermediate	Pull
Barbell Ab Rollout - On Knees	Strength	Abdominals	"LowerBack,Shoulders"	Barbell	Compound	Expert	Pull
Barbell Bench Press - Medium Grip	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Barbell Bench Press-Wide Grip	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Barbell Curl	Strength	Biceps	Forearms	Barbell	Isolation	Beginner	Pull
Barbell Curls Lying Against An Incline	Strength	Biceps	N/A	Barbell	Isolation	Beginner	Pull
Barbell Deadlift	Strength	Hamstrings	"Calves,Glutes,LowerBack"	Barbell	Compound	Intermediate	Pull
Barbell Deadlift Bent Row Complex	Strength	MiddleBack	"Glutes,Hamstrings,Lats,LowerBack"	Barbell	Compound	Intermediate	Pull
Barbell Front Raise	Strength	Shoulders	N/A	Barbell	Isolation	Beginner	Push
Barbell Front-To-Back Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Full Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Intermediate	Push
Barbell Glute Bridge	Powerlifting	Glutes	"Calves,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Guillotine Bench Press	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Hack Squat	Strength	Quadriceps	"Calves,Forearms,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Hip Thrust	Powerlifting	Glutes	"Calves,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Incline Bench Press Medium-Grip	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Barbell Incline Shoulder Raise	Strength	Shoulders	Chest	Barbell	Compound	Beginner	Push
Barbell Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Barbell Rear Delt Row	Strength	Shoulders	"Biceps,Lats,MiddleBack"	Barbell	Compound	Beginner	Pull
Barbell Reverse Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Barbell Rollout from Bench	Strength	Abdominals	"Glutes,Hamstrings,Lats,Shoulders"	Barbell	Compound	Intermediate	Pull
Barbell Seated Calf Raise	Strength	Calves	N/A	Barbell	Isolation	Beginner	Push
Barbell Shoulder Press	Strength	Shoulders	"Chest,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Shrug	Strength	Traps	N/A	Barbell	Isolation	Beginner	Pull
Barbell Shrug Behind The Back	Strength	Traps	"Forearms,MiddleBack"	Barbell	Isolation	Beginner	Pull
Barbell Side Bend	Strength	Abdominals	LowerBack	Barbell	Isolation	Beginner	Pull
Barbell Side Split Squat	Strength	Quadriceps	"Calves,Hamstrings,LowerBack"	Barbell	Compound	Beginner	Push
Barbell Squat	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Barbell Squat To A Bench	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Barbell	Compound	Expert	Push
Barbell Squat To A Box	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Barbell Step Ups	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Quadriceps"	Barbell	Compound	Intermediate	Push
Barbell Thruster	Strength	Quadriceps	"Glutes,Hamstrings,MiddleBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Barbell Walking Lunge	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Beginner	Push
Battling Ropes	Strength	Shoulders	"Chest,Forearms"	Other	Compound	Beginner	Push
Bear Crawl Sled Drags	Strongman	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Behind Head Chest Stretch	Stretching	Chest	Shoulders	Other	Isolation	Expert	Static
Bench Dips	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
Bench Jump	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Bench Press - Powerlifting	Powerlifting	Triceps	"Chest,Forearms,Lats,Shoulders"	Barbell	Compound	Intermediate	Push
Bench Press - With Bands	Strength	Chest	"Shoulders,Triceps"	Bands	Compound	Beginner	Push
Bench Press with Chains	Powerlifting	Triceps	"Chest,Lats,Shoulders"	Barbell	Compound	Expert	Push
Bench Press With Short Bands	Powerlifting	Chest	"Shoulders,Triceps"	Bands	Compound	Intermediate	Push
Bench Sprint	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Bent Over Barbell Row	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Barbell	Compound	Beginner	Pull
Bent Over Dumbbell Rear Delt Raise With Head On Bench	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Pull
Bent Over Low-Pulley Side Lateral	Strength	Shoulders	"LowerBack,MiddleBack,Traps"	Cable	Isolation	Beginner	Pull
Bent Over One-Arm Long Bar Row	Strength	MiddleBack	"Biceps,Lats,LowerBack,Traps"	Barbell	Compound	Beginner	Pull
Bent Over Two-Arm Long Bar Row	Strength	MiddleBack	"Biceps,Lats"	Barbell	Compound	Intermediate	Pull
Bent Over Two-Dumbbell Row	Strength	MiddleBack	"Biceps,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
Bent Over Two-Dumbbell Row With Palms In	Strength	MiddleBack	"Biceps,Lats"	Dumbbell	Compound	Beginner	Pull
Bent Press	Strength	Abdominals	"Glutes,Hamstrings,LowerBack,Quadriceps,Shoulders,Triceps"	Kettlebells	Compound	Expert	Pull
Bent-Arm Barbell Pullover	Strength	Lats	"Chest,Lats,Shoulders,Triceps"	Barbell	Compound	Intermediate	Pull
Bent-Arm Dumbbell Pullover	Strength	Chest	"Lats,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Bent-Knee Hip Raise	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Biceps Curl To Shoulder Press	Strength	Biceps	"Biceps,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Pull
Bicycling	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Other	N/A	Beginner	N/A
Bicycling, Stationary	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Board Press	Powerlifting	Triceps	"Chest,Forearms,Lats,Shoulders"	Barbell	Compound	Intermediate	Push
Body Tricep Press	Strength	Triceps	N/A	None	Isolation	Beginner	Push
Body Triceps Press Using Flat Bench	Strength	Triceps	"Abdominals,Shoulders"	Other	Compound	Intermediate	Push
